,0
0,A
1,AAL
2,AAP
3,AAPL
4,ABC
5,ABT
6,ACGL
7,ACN
8,ADBE
9,ADI
10,ADM
11,ADP
12,ADSK
13,AEE
14,AEP
15,AES
16,AFL
17,AGG
18,AIG
19,AIZ
20,AJG
21,AKAM
22,ALB
23,ALGN
24,ALK
25,ALL
26,AMAT
27,AMD
28,AME
29,AMGN
30,AMP
31,AMT
32,AMZN
33,ANSS
34,AON
35,AOS
36,APA
37,APD
38,APH
39,ARE
40,ASML
41,ATO
42,ATVI
43,AVB
44,AVY
45,AXP
46,AZN
47,AZO
48,BA
49,BAC
50,BALL
51,BAX
52,BBWI
53,BBY
54,BDX
55,BEN
56,BIIB
57,BIO
58,BK
59,BKNG
60,BLK
61,BMY
62,BRO
63,BSX
64,BWA
65,BXP
66,C
67,CAG
68,CAH
69,CAT
70,CB
71,CBRE
72,CCI
73,CCL
74,CDNS
75,CE
76,CF
77,CHD
78,CHRW
79,CI
80,CINF
81,CL
82,CLX
83,CMA
84,CMCSA
85,CME
86,CMI
87,CMS
88,CNC
89,CNP
90,COF
91,COO
92,COP
93,COST
94,CPB
95,CPRT
96,CPT
97,CRL
98,CRM
99,CSCO
100,CSGP
101,CSX
102,CTAS
103,CTRA
104,CTSH
105,CVS
106,CVX
107,D
108,DD
109,DE
110,DGX
111,DHI
112,DHR
113,DIA
114,DIS
115,DISH
116,DLR
117,DLTR
118,DOV
119,DPZ
120,DRI
121,DTE
122,DUK
123,DVA
124,DVN
125,DVY
126,DXCM
127,EA
128,EBAY
129,ECL
130,ED
131,EEM
132,EFA
133,EFV
134,EFX
135,EIX
136,EL
137,ELV
138,EMN
139,EMR
140,EOG
141,EQIX
142,EQR
143,EQT
144,ES
145,ESS
146,ETN
147,ETR
148,EW
149,EXC
150,EXPD
151,EXPE
152,EXR
153,F
154,FAST
155,FCX
156,FDS
157,FDX
158,FE
159,FFIV
160,FIS
161,FISV
162,FITB
163,FMC
164,FRT
165,GD
166,GE
167,GEN
168,GILD
169,GIS
170,GL
171,GLD
172,GLW
173,GOOGL
174,GPC
175,GPN
176,GRMN
177,GS
178,GWW
179,HAL
180,HAS
181,HBAN
182,HD
183,HES
184,HIG
185,HOLX
186,HON
187,HPQ
188,HRL
189,HSIC
190,HST
191,HSY
192,HUM
193,HWM
194,IAU
195,IBM
196,ICE
197,ICF
198,IDXX
199,IEF
200,IEX
201,IFF
202,IJH
203,IJR
204,ILMN
205,INCY
206,INTC
207,INTU
208,IP
209,IPG
210,IRM
211,ISRG
212,IT
213,ITOT
214,ITW
215,IVE
216,IVV
217,IVW
218,IVZ
219,IWB
220,IWD
221,IWF
222,IWM
223,IWR
224,IYR
225,J
226,JBHT
227,JCI
228,JKHY
229,JNJ
230,JNPR
231,JPM
232,K
233,KEY
234,KLAC
235,KMB
236,KMX
237,KO
238,KR
239,L
240,LEN
241,LH
242,LHX
243,LKQ
244,LLY
245,LMT
246,LNC
247,LNT
248,LOW
249,LQD
250,LRCX
251,LUMN
252,LUV
253,LVS
254,MAA
255,MAR
256,MAS
257,MCD
258,MCHP
259,MCK
260,MCO
261,MDLZ
262,MDT
263,MDY
264,MET
265,MGM
266,MHK
267,MKC
268,MKTX
269,MLM
270,MMC
271,MMM
272,MNST
273,MO
274,MOH
275,MOS
276,MPWR
277,MRK
278,MRO
279,MRVL
280,MS
281,MSFT
282,MSI
283,MTB
284,MTD
285,MU
286,NDAQ
287,NDSN
288,NEE
289,NEM
290,NFLX
291,NI
292,NKE
293,NOC
294,NRG
295,NSC
296,NTAP
297,NTRS
298,NUE
299,NVDA
300,NVR
301,NWL
302,O
303,ODFL
304,OKE
305,OMC
306,ON
307,ORCL
308,ORLY
309,OXY
310,PAYX
311,PCAR
312,PCG
313,PEAK
314,PEG
315,PEP
316,PFE
317,PFG
318,PG
319,PGR
320,PH
321,PHM
322,PKG
323,PKI
324,PLD
325,PNC
326,PNR
327,PNW
328,POOL
329,PPG
330,PPL
331,PRU
332,PSA
333,PTC
334,PWR
335,PXD
336,QCOM
337,QQQ
338,RCL
339,RE
340,REG
341,REGN
342,RF
343,RJF
344,RL
345,RMD
346,ROK
347,ROL
348,ROP
349,ROST
350,RSG
351,RSP
352,RTX
353,RWR
354,SBAC
355,SBNY
356,SBUX
357,SCHW
358,SDY
359,SEE
360,SGEN
361,SHW
362,SHY
363,SIRI
364,SIVB
365,SJM
366,SLB
367,SNA
368,SNPS
369,SO
370,SPG
371,SPLG
372,SPY
373,SPYG
374,SPYV
375,SRE
376,STE
377,STT
378,STX
379,STZ
380,SWK
381,SWKS
382,SYK
383,SYY
384,T
385,TAP
386,TDY
387,TECH
388,TER
389,TFC
390,TFX
391,TGT
392,TIP
393,TJX
394,TLT
395,TMO
396,TPR
397,TRMB
398,TROW
399,TRV
400,TSCO
401,TSN
402,TT
403,TTWO
404,TXN
405,TXT
406,TYL
407,UDR
408,UHS
409,UNH
410,UNP
411,UPS
412,URI
413,USB
414,VB
415,VBR
416,VFC
417,VGK
418,VGT
419,VHT
420,VLO
421,VMC
422,VNO
423,VNQ
424,VO
425,VRSN
426,VRTX
427,VTI
428,VTR
429,VTV
430,VUG
431,VV
432,VWO
433,VXF
434,VZ
435,WAB
436,WAT
437,WBA
438,WDC
439,WEC
440,WFC
441,WHR
442,WM
443,WMB
444,WMT
445,WRB
446,WST
447,WY
448,WYNN
449,XEL
450,XLE
451,XLF
452,XLI
453,XLK
454,XLP
455,XLU
456,XLV
457,XOM
458,XRAY
459,YUM
460,ZBH
461,ZBRA
462,ZION
463,VIXM
464,UNG
465,USO
466,MCHI
467,EWJ
