"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,389,588,504,380","0.61%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,900,328,603,940","1.01%","USA","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,118,890,760,000","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,118,890,760,000","0.00%","USA","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$972,464,950,939","0.00%","USA","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$590,083,000,000","0.05%","USA","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$541,839,640,181","0.00%","USA","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$498,322,500,000","0.00%","USA","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$263,812,617,633","2.64%","USA","Analyze"
"ASML","ASML Holding NV ADRs","ADRs","Large cap","Information Technology","$256,952,242,488","1.27%","The Netherlands","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$238,471,065,365","2.63%","USA","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$210,886,661,649","0.76%","USA","Analyze"
"AZN","AstraZeneca PLC ADRs","ADRs","Large cap","Health Care","$202,096,322,229","2.21%","United Kingdom","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$201,842,173,062","3.05%","USA","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$173,030,463,309","0.00%","USA","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$159,202,234,066","2.69%","USA","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$157,501,512,000","0.00%","USA","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$156,612,163,010","2.89%","USA","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$139,244,950,621","0.00%","USA","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$137,814,000,000","2.41%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$131,503,364,399","2.02%","USA","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$131,360,367,450","0.00%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$125,382,960,445","3.35%","USA","Analyze"
"PDD","Pinduoduo Inc. ADRs","ADRs","Large cap","Consumer Discretionary","$120,989,064,667","0.00%","China","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$120,159,315,000","1.93%","USA","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$114,608,812,877","0.71%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$109,216,800,000","5.43%","USA","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$101,152,699,041","3.55%","USA","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$100,535,288,076","0.87%","USA","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$98,653,796,609","0.00%","USA","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$94,215,027,939","1.67%","USA","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$93,125,509,065","1.93%","USA","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$89,582,893,048","2.22%","USA","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$86,312,468,904","0.00%","USA","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$83,780,505,910","0.00%","USA","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$82,296,023,907","0.00%","USA","Analyze"
"ABNB","Airbnb, Inc.","Common stocks","Large cap","Consumer Discretionary","$80,766,083,219","0.00%","USA","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$74,687,634,525","0.00%","USA","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$74,282,222,979","0.00%","USA","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$66,341,387,155","1.30%","USA","Analyze"
"JD","JD.com Inc ADRs","ADRs","Large cap","Consumer Discretionary","$64,270,996,440","0.00%","China","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$64,250,159,269","1.31%","USA","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$62,263,522,863","0.59%","USA","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$61,957,004,623","0.78%","USA","Analyze"
"MELI","Mercadolibre Inc","Common stocks","Large cap","Consumer Discretionary","$61,653,193,462","0.00%","USA","Analyze"
"PANW","Palo Alto Networks Inc","Common stocks","Large cap","Information Technology","$57,976,655,608","0.00%","USA","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$56,477,963,492","0.00%","USA","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$55,970,866,298","0.00%","USA","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$55,323,829,861","0.00%","USA","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$53,632,710,000","0.00%","USA","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$53,326,528,988","0.81%","USA","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$53,290,978,610","0.00%","USA","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$52,834,184,359","1.29%","USA","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$51,818,089,166","0.00%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$48,592,749,067","2.23%","USA","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$47,824,131,838","4.04%","USA","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$47,702,593,023","0.00%","USA","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$47,497,970,775","0.00%","USA","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$47,481,671,254","1.83%","The Netherlands","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$45,780,329,156","3.57%","USA","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$45,247,941,092","1.52%","USA","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$44,901,008,646","0.99%","USA","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$44,763,124,305","0.00%","USA","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$41,136,972,405","3.28%","USA","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$40,635,393,956","2.78%","USA","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$40,456,845,048","0.00%","USA","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$39,810,329,927","1.22%","USA","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$39,065,984,236","0.37%","USA","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$39,047,245,832","0.00%","USA","Analyze"
"WDAY","Workday Inc","Common stocks","Large cap","Information Technology","$38,884,650,000","0.00%","USA","Analyze"
"LULU","Lululemon Athletica Inc","Common stocks","Large cap","Consumer Discretionary","$38,779,604,200","0.00%","USA","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$38,717,632,542","1.10%","USA","Analyze"
"WBD","Warner Bros. Discovery, Inc. - Series A","Common stocks","Large cap","Communication Services","$37,592,563,822","0.00%","USA","Analyze"
"MRVL","Marvell Technology Group Ltd","Common stocks","Large cap","Information Technology","$37,574,928,000","0.54%","USA","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$35,410,148,990","3.00%","USA","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$34,951,180,000","0.00%","USA","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$34,038,237,493","0.00%","USA","Analyze"
"SGEN","Seattle Genetics Inc","Common stocks","Large cap","Health Care","$33,863,044,343","0.00%","USA","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$33,400,198,330","0.00%","USA","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$32,642,107,517","2.27%","USA","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$31,851,285,410","1.75%","USA","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$31,238,478,477","0.82%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$31,127,753,264","5.22%","USA","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$30,649,169,463","2.36%","USA","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$29,641,779,293","0.00%","USA","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$29,454,391,729","0.00%","USA","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$28,915,746,787","0.66%","USA","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","Common stocks","Large cap","Information Technology","$27,512,236,938","0.00%","USA","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$27,028,847,679","0.00%","USA","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$26,943,716,831","2.02%","USA","Analyze"
"TEAM","Atlassian Plc Class A","Common stocks","Large cap","Information Technology","$26,648,638,622","0.00%","United Kingdom","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$25,836,812,856","0.89%","USA","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$25,630,748,325","0.00%","USA","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$24,717,968,183","1.90%","USA","Analyze"
"DDOG","Datadog, Inc. - Class A","Common stocks","Large cap","Information Technology","$22,636,364,908","0.00%","USA","Analyze"
"ZM","Zoom Video Communications, Inc. - Class A","Common stocks","Large cap","Information Technology","$17,771,550,655","0.00%","USA","Analyze"
"ZS","Zscaler Inc","Common stocks","Large cap","Information Technology","$17,195,865,947","0.00%","USA","Analyze"
"SIRI","Sirius Xm Holdings Inc","Common stocks","Large cap","Communication Services","$16,534,626,879","2.15%","USA","Analyze"
"LCID","Lucid Group, Inc.","Common stocks","Large cap","Consumer Discretionary","$16,364,227,103","0.00%","USA","Analyze"
"RIVN","Rivian Automotive, Inc.  Class A","Common stocks","Large cap","Consumer Discretionary","$15,553,964,020","0.00%","USA","Analyze"
